id,name,activity_name,total,start_duration,end_duration,start_registration,end_registration,credits_count,activity_type,location,location_kotakab_code,mitra_id,certified,logo,mitra_name,Kab/Kot,Provinsi,Tipe Lokasi,Lokasi,Nama_Provinsi,durasi_magang
ef8e5214-6e1e-11ed-9c3c-feb214c74b66,Instruktur Data Science,Engineering Sistem ERP Pendidikan Bisa AI Academy,2,2023-02-13,2023-07-14,2022-11-30,2023-01-31,20,OFFLINE,Kota Bandung,26000.0,cfca8159-1096-4dd6-a3b7-ab0da4507cc6,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f4097b5d-c439-431c-ad91-30d6e505287c.jpg,BISA AI ACADEMY,Kota Bandung,Jawa Barat,Kota,KotaBandung,JawaBarat,151.0
3fdf7c0b-4ea7-11ed-b2b6-aa3c93767607,Instruktur Design Engineering,dr. MEKANIK ACADEMY,2,2023-02-10,2023-07-14,2022-11-15,2023-01-31,20,OFFLINE,Kota Jakarta Selatan,16300.0,51eebb91-c684-4d2c-a4bb-b1784a3be41a,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_14a64f25-841d-4162-8a8e-f6793d5882f1.png,dr. Mekanik Academy,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,154.0
0f8b93b0-6e2a-11ed-9738-0278cb7f6574,Instruktur Full Stack Programming,Engineering Sistem ERP Pendidikan Bisa AI Academy,2,2023-02-13,2023-07-14,2022-11-30,2023-01-31,20,OFFLINE,Kota Bandung,26000.0,cfca8159-1096-4dd6-a3b7-ab0da4507cc6,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f4097b5d-c439-431c-ad91-30d6e505287c.jpg,BISA AI ACADEMY,Kota Bandung,Jawa Barat,Kota,KotaBandung,JawaBarat,151.0
d3a0443f-6fa2-11ed-83fd-7e8ddab09462,Instumentation Intern,Petrokimia Undergraduate Apprenticeship Program Cycle 4,3,2023-02-16,2023-06-30,2022-12-20,2023-01-06,20,OFFLINE,Kab. Gresik,50100.0,bc27aac3-8e3f-4016-9b18-cdbfa26746d8,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_87fed9ce-8cc7-4c55-8727-1c02a5030d20.png,PT Petrokimia Gresik,Kab. Gresik,Jawa Timur,Kabupaten,Gresik,JawaTimur,134.0
4dfb9e21-7fad-11ed-9af6-e28bf6b6d14d,Insurance Product ,Home Credit Apprenticeship  Program (HAP) 3.0 ,1,2023-02-16,2023-07-01,2023-01-20,2023-01-31,20,OFFLINE,Kota Jakarta Selatan,16300.0,ae9a3576-23cb-42c2-9885-4cb1a4141799,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8471966c-6da5-47b7-9275-8de31d6c807b.png,Home Credit Indonesia,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,135.0
9ad413fa-6720-11ed-98f0-d6bd1ff96cc1,Integration Developer,Basic Banking Services - IT  Service Integration Design and Delivery,3,2023-02-10,2023-07-10,2022-12-20,2023-01-20,20,OFFLINE,Kota Jakarta Selatan,16300.0,7ee6d215-9ad2-4565-81c1-555e8efb1360,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_de215b33-560a-4fc0-b322-6d9cc3b3a0b1.png,Bank CIMB Niaga,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,150.0
887f9289-7dd7-11ed-bd09-2615bc75a6a3,Internal Audit ,7 : Project Improvement Implementasi Risk Based Audit Dalam Pelaksanaan Audit Operasional & Finansial,2,2023-02-16,2023-06-30,2022-12-17,2023-01-31,20,OFFLINE,Kab. Berau,160300.0,ec0dd4db-c8de-4171-8079-46070738ce4a,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2ff77b56-98de-4831-a033-f819bb3d605c.jpg,Berau Coal,Kab. Berau,Kalimantan Timur,Kabupaten,Berau,KalimantanTimur,134.0
2d23f515-5440-11ed-9954-8e5ae7ce8135,Internal Audit Intern,Nusantara All Division ,2,2023-02-16,2023-06-30,2022-12-15,2023-02-11,20,OFFLINE,Kota Jakarta Selatan,,33c404bb-b227-4a65-85dc-9fe9cf434e1e,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_38539944-f328-4d58-bef3-1d8a97f607e4.jpg,Nusantara Infrastructure,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,134.0
2cf99feb-60c3-11ed-9958-e6768c594c9c,Internal Audit - Jakarta (Head Office),ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,4,2023-02-10,2023-06-10,2022-11-15,2023-01-20,20,OFFLINE,Kota Jakarta Utara,16100.0,631c1888-6d99-43db-bfff-086dafc150c3,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,ASSA,Kota Jakarta Utara,DKI Jakarta,Kota,JakartaUtara,JakartaRaya,120.0
36557798-6ecf-11ed-818c-feb214c74b66,Internal Communication - Intern,Belajar Birdsama Bluebird,1,2023-02-16,2023-06-30,2022-12-23,2023-01-13,20,OFFLINE,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta",,ac1f94db-56fa-4a5c-8cfa-5c6c67b3f1fb,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_344c87cc-627d-46d8-a4cb-650b8e73d167.jpg,Bluebird Group,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,134.0
